"Batter","MLBAM_ID","Year","Handedness","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Bryce Harper",11579,"2015","L",462,0.1558,0.0216,0.0736,0.0606,0.1558,0.5931
"Nori Aoki",13075,"2015","L",452,0.1416,0.0398,0.0708,0.031,0.2235,0.5243
"Mike Trout",10155,"2015","R",444,0.1644,0.027,0.0541,0.0833,0.1599,0.5946
"Lucas Duda",2502,"2015","L",438,0.1461,0.0228,0.0548,0.0685,0.2215,0.5548
"Austin Jackson",9848,"2015","R",434,0.1797,0.0392,0.053,0.0876,0.2488,0.4793
"Matt Carpenter",8090,"2015","L",433,0.1663,0.0323,0.0716,0.0624,0.2171,0.5127
"Joey Votto",4314,"2015","L",430,0.1814,0.0349,0.0674,0.0791,0.1907,0.5256
"Curtis Granderson",4747,"2015","L",427,0.1522,0.0351,0.0703,0.0468,0.2459,0.4965
"Mookie Betts",13611,"2015","R",421,0.171,0.0404,0.0665,0.0641,0.2447,0.4774
"Nick Markakis",5930,"2015","L",415,0.1976,0.0386,0.0578,0.1012,0.2193,0.4867
"Ian Kinsler",6195,"2015","R",414,0.1377,0.0242,0.0628,0.0507,0.2222,0.5531
"Wil Myers",10047,"2015","R",413,0.1695,0.0339,0.0605,0.0751,0.2349,0.5012
"Josh Donaldson",5038,"2015","R",411,0.1533,0.0219,0.056,0.0754,0.2433,0.5255
"Miguel Cabrera",1744,"2015","R",410,0.1585,0.0585,0.0537,0.0463,0.1902,0.539
"George Springer",12856,"2015","R",409,0.1711,0.0293,0.0611,0.0807,0.1883,0.5501
"Matt Kemp",5631,"2015","R",409,0.1711,0.0391,0.0538,0.0782,0.1638,0.5721
"Mike Moustakas",4892,"2015","L",405,0.2049,0.0173,0.0395,0.1481,0.1901,0.5481
"Dustin Pedroia",8370,"2015","R",402,0.1667,0.0398,0.0647,0.0622,0.2488,0.4801
"Billy Butler",7399,"2015","R",400,0.19,0.0275,0.07,0.0925,0.2175,0.495
"Anthony Rizzo",3473,"2015","L",399,0.1454,0.0175,0.0451,0.0827,0.1429,0.6491
"Steven Souza",5667,"2015","R",397,0.1738,0.0227,0.0529,0.0982,0.2393,0.5113
"Eric Hosmer",3516,"2015","L",396,0.1793,0.0328,0.0404,0.1061,0.1414,0.6061
"Brian Dozier",9810,"2015","R",395,0.1519,0.038,0.0658,0.0481,0.2101,0.5342
"Ryan Zimmerman",4220,"2015","R",393,0.1578,0.0331,0.0789,0.0458,0.2341,0.4962
"Charlie Blackmon",7859,"2015","L",392,0.1352,0.0332,0.0638,0.0383,0.2194,0.5485
"Paul Goldschmidt",9218,"2015","R",391,0.1407,0.0281,0.0614,0.0512,0.2148,0.555
"Marcus Semien",12533,"2015","R",391,0.1586,0.0512,0.0793,0.0281,0.2609,0.4501
"Jay Bruce",9892,"2015","L",388,0.1521,0.0129,0.0644,0.0747,0.1727,0.5979
"Nelson Cruz",2434,"2015","R",385,0.1584,0.0338,0.0675,0.0571,0.1974,0.5429
"Joe Mauer",1857,"2015","L",384,0.1667,0.0339,0.0651,0.0677,0.2266,0.5078
"David Ortiz",745,"2015","L",384,0.1224,0.0286,0.0417,0.0521,0.2161,0.5911
"Freddie Freeman",5361,"2015","L",383,0.2089,0.047,0.0705,0.0914,0.1462,0.5274
"Juan Lagares",5384,"2015","R",383,0.1749,0.0235,0.0627,0.0888,0.2872,0.4517
"Ian Desmond",6885,"2015","R",381,0.1864,0.0394,0.0394,0.1076,0.189,0.5459
"Jason Kipnis",9776,"2015","L",378,0.1878,0.0503,0.0635,0.0741,0.2407,0.4577
"Elvis Andrus",8709,"2015","R",378,0.2011,0.0317,0.0794,0.0899,0.1984,0.4894
"Jorge Soler",14221,"2015","R",376,0.141,0.0213,0.0771,0.0426,0.1782,0.5824
"Sam Fuld",8254,"2015","L",374,0.1684,0.0348,0.0481,0.0856,0.2513,0.4973
"Chris Carter",9911,"2015","R",374,0.1524,0.0321,0.0802,0.0401,0.2193,0.516
"Luis Valbuena",4969,"2015","L",373,0.1716,0.0402,0.0938,0.0375,0.2359,0.4584
"Lorenzo Cain",9077,"2015","R",371,0.1563,0.027,0.0566,0.0728,0.1995,0.5606
"Edwin Encarnacion",2151,"2015","R",371,0.2022,0.027,0.062,0.1132,0.1995,0.5094
"Jacoby Ellsbury",4727,"2015","L",371,0.1509,0.0377,0.0512,0.062,0.2156,0.5445
"J.D. Martinez",6184,"2015","R",371,0.1698,0.0404,0.062,0.0674,0.2075,0.5202
