"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Cole Hamels",4972,"2015",519,0.1908,0.0385,0.0424,0.1098,0.1869,0.5414
"Dallas Keuchel",9434,"2015",515,0.1592,0.0136,0.0777,0.068,0.165,0.5845
"Zack Greinke",1943,"2015",515,0.132,0.0291,0.0641,0.0388,0.1961,0.5786
"Andrew Cashner",8782,"2015",513,0.1813,0.0273,0.0897,0.0643,0.2066,0.4951
"Jeff Samardzija",3254,"2015",511,0.2016,0.0431,0.0431,0.1155,0.2387,0.4736
"Scott Feldman",6283,"2015",510,0.1588,0.0235,0.0706,0.0647,0.2373,0.5098
"David Price",3184,"2015",509,0.1729,0.053,0.0864,0.0334,0.2083,0.4794
"Corey Kluber",2429,"2015",508,0.2028,0.0217,0.0748,0.1063,0.1752,0.5256
"Felix Hernandez",4772,"2015",505,0.1465,0.0119,0.0851,0.0495,0.1782,0.5782
"Mike Leake",10130,"2015",505,0.1584,0.0178,0.101,0.0396,0.202,0.5208
"Lance Lynn",2520,"2015",505,0.1921,0.0515,0.0574,0.0832,0.2119,0.4871
"Jose Quintana",11423,"2015",501,0.1816,0.0419,0.0579,0.0818,0.1956,0.523
"Tyson Ross",7872,"2015",501,0.1537,0.0359,0.0519,0.0659,0.1836,0.5749
"Rick Porcello",2717,"2015",501,0.1836,0.0339,0.0439,0.1058,0.2096,0.5289
"Johnny Cueto",6893,"2015",496,0.1976,0.0383,0.0565,0.1028,0.2278,0.4798
"Stephen Strasburg",10131,"2015",496,0.1694,0.0302,0.0948,0.0444,0.2762,0.4294
"Sonny Gray",12768,"2015",496,0.1472,0.0383,0.0685,0.0403,0.2198,0.5262
"C.J. Wilson",3580,"2015",495,0.1535,0.0384,0.0727,0.0424,0.1939,0.5414
"R.A. Dickey",1245,"2015",495,0.1879,0.0586,0.0404,0.0889,0.2061,0.5071
"Anibal Sanchez",3284,"2015",492,0.189,0.0427,0.0569,0.0894,0.2134,0.498
"Rubby de la Rosa",3862,"2015",492,0.185,0.0244,0.063,0.0976,0.2744,0.4533
"Alfredo Simon",2155,"2015",491,0.1609,0.0326,0.0489,0.0794,0.2261,0.5316
"Jake Odorizzi",6397,"2015",490,0.1367,0.051,0.051,0.0347,0.2327,0.5286
"Scott Kazmir",4897,"2015",489,0.182,0.0123,0.0511,0.1186,0.2045,0.5501
"James Shields",7059,"2015",489,0.1718,0.0368,0.0777,0.0573,0.1861,0.5276
"Clayton Kershaw",2036,"2015",487,0.1786,0.0637,0.0472,0.0678,0.23,0.4805
"Madison Bumgarner",5524,"2015",485,0.1938,0.0619,0.0474,0.0845,0.2227,0.4742
"Kyle Gibson",10123,"2015",485,0.1856,0.0144,0.0598,0.1113,0.1505,0.5897
"Colby Lewis",1259,"2015",484,0.1818,0.0269,0.0455,0.1095,0.2645,0.4814
"Aaron Harang",1451,"2015",483,0.1532,0.0435,0.0683,0.0414,0.2588,0.4762
"CC Sabathia",404,"2015",481,0.1559,0.0333,0.0769,0.0457,0.2453,0.4886
"Michael Pineda",5372,"2015",479,0.19,0.0271,0.0564,0.1065,0.2484,0.4781
"Alex Wood",13781,"2015",479,0.1942,0.0104,0.0919,0.0919,0.1942,0.5094
"Matt Garza",3340,"2015",479,0.1357,0.0376,0.0647,0.0334,0.2067,0.5553
"Chris Heston",10302,"2015",477,0.1027,0.0189,0.0776,0.0063,0.2411,0.5597
"Wily Peralta",7738,"2015",477,0.1572,0.0273,0.0734,0.0566,0.195,0.5472
"Chris Archer",6345,"2015",477,0.1656,0.0335,0.0839,0.0482,0.2348,0.4822
"Max Scherzer",3137,"2015",476,0.1807,0.0252,0.0756,0.0798,0.2815,0.437
"Yovani Gallardo",8173,"2015",475,0.1474,0.0379,0.0526,0.0568,0.2126,0.5495
"Nate Karns",12638,"2015",475,0.1347,0.0274,0.0653,0.0421,0.2147,0.5579
"Jon Lester",4930,"2015",475,0.1916,0.0084,0.0674,0.1158,0.1726,0.56
"A.J. Burnett",512,"2015",473,0.1734,0.0317,0.0486,0.093,0.2135,0.5328
"Gerrit Cole",13125,"2015",471,0.1805,0.017,0.0701,0.0934,0.1932,0.5393
"Matt Harvey",11713,"2015",470,0.1745,0.0511,0.0574,0.066,0.2255,0.4915
"Jacob deGrom",10954,"2015",469,0.1812,0.0405,0.0768,0.064,0.2175,0.484
"Shelby Miller",10197,"2015",468,0.1838,0.0427,0.0534,0.0876,0.265,0.4551
"Julio Teheran",6797,"2015",465,0.1527,0.028,0.0581,0.0667,0.2495,0.5118
"Josh Collmenter",7312,"2015",465,0.1806,0.0301,0.0667,0.0839,0.1957,0.5269
"Chris Tillman",5279,"2015",461,0.1562,0.0477,0.0477,0.0607,0.2126,0.5358
"Danny Duffy",3542,"2015",461,0.1584,0.0586,0.0521,0.0477,0.2842,0.4469
"Kyle Lohse",739,"2015",459,0.1503,0.0218,0.0719,0.0566,0.22,0.5359
"Justin Masterson",2038,"2015",458,0.1987,0.024,0.0415,0.1332,0.1943,0.5415
"Drew Hutchison",10732,"2015",457,0.1532,0.0547,0.0613,0.0372,0.1882,0.5427
"Jerome Williams",1137,"2015",455,0.1582,0.0132,0.0681,0.0769,0.1912,0.5692
"Jered Weaver",4235,"2015",451,0.1729,0.0399,0.0732,0.0599,0.2129,0.5011
"Kyle Kendrick",6230,"2015",448,0.1674,0.029,0.0647,0.0737,0.2344,0.5045
"Jordan Lyles",7593,"2015",448,0.1496,0.0246,0.0536,0.0714,0.2031,0.5692
"James Paxton",11828,"2015",446,0.1704,0.0291,0.0561,0.0852,0.2152,0.5291
"Mark Buehrle",225,"2015",444,0.232,0.045,0.045,0.1419,0.1959,0.482
"Phil Hughes",7450,"2015",444,0.2162,0.0428,0.0473,0.1261,0.2995,0.3941
"Clay Buchholz",3543,"2015",441,0.161,0.0295,0.0748,0.0567,0.2109,0.5238
"Daniel Norris",13475,"2015",439,0.18,0.041,0.0433,0.0957,0.1822,0.5535
"Eddie Butler",13453,"2015",438,0.1781,0.0388,0.0457,0.0936,0.1826,0.5548
"David Buchanan",11176,"2015",438,0.1712,0.0251,0.0685,0.0776,0.2078,0.5274
"Jordan Zimmermann",4505,"2015",434,0.1751,0.0507,0.0622,0.0622,0.2327,0.4793
"Bartolo Colon",375,"2015",434,0.2074,0.0507,0.0645,0.0922,0.3041,0.3733
"Anthony DeSclafani",13050,"2015",432,0.1829,0.0231,0.0787,0.081,0.2222,0.4931
"Shane Greene",10756,"2015",425,0.1835,0.0306,0.0659,0.0871,0.2471,0.4729
"Yordano Ventura",11855,"2015",421,0.1876,0.0333,0.0499,0.1045,0.2019,0.5273
"Tom Koehler",6570,"2015",419,0.1551,0.0477,0.074,0.0334,0.2697,0.4535
"Trevor Bauer",12703,"2015",408,0.1814,0.0417,0.0539,0.0858,0.1838,0.5392
"Jake Arrieta",4153,"2015",406,0.1453,0.0271,0.0739,0.0443,0.2488,0.5049
"Hector Santiago",4026,"2015",400,0.175,0.0625,0.04,0.0725,0.235,0.4875
"Gio Gonzalez",7448,"2015",400,0.19,0.0325,0.045,0.1125,0.1975,0.535
"Joe Kelly",9761,"2015",397,0.1688,0.0176,0.0705,0.0806,0.2015,0.5416
"Jeremy Hellickson",4371,"2015",396,0.1742,0.0227,0.0581,0.0934,0.1641,0.5808
"Miguel Gonzalez",7024,"2015",393,0.1654,0.0331,0.0458,0.0865,0.229,0.5267
"Carlos Martinez",11682,"2015",392,0.1837,0.0204,0.0842,0.0791,0.2296,0.4821
